T 	  magAv 	 stdmagAv 	 m^2 	 stdm^2 	 m^4 	 stdm^4 	 eAv	 stdeAv	 Binder 	 std Binder
0.1	1	0	1	0	1	0	-2	0	0.666667	0
0.2	1	0	1	0	1	0	-2	0	0.666667	0
0.3	1	0	1	0	1	0	-2	0	0.666667	0
0.4	1	0	1	0	1	0	-2	0	0.666667	0
0.5	0.999984	0.00113131	0.999969	0.00217212	0.999943	0.00401061	-1.99994	0.00452526	0.666665	0.0033982
0.6	1	0	1	0	1	0	-2	0	0.666667	0
0.7	1	0	1	0	1	0	-2	0	0.666667	0
0.8	0.999968	0.00159976	0.999939	0.00307154	0.999887	0.00567129	-1.99987	0.00639904	0.666664	0.00480589
0.9	0.999672	0.00511224	0.99937	0.00981551	0.998837	0.0181234	-1.99869	0.020449	0.666635	0.0153928
1	0.999064	0.00938577	0.998217	0.0177855	0.996753	0.0321095	-1.99642	0.0350919	0.666561	0.0275274
1.1	0.9986	0.0118108	0.997341	0.0221179	0.995179	0.0393442	-1.99466	0.0430788	0.666503	0.0339538
1.2	0.997336	0.0165109	0.994952	0.0308499	0.99088	0.0546294	-1.98995	0.0594093	0.666346	0.0476334
1.3	0.993632	0.03679	0.988658	0.0562887	0.980613	0.0858	-1.97869	0.0928402	0.665586	0.079168
1.4	0.990536	0.0321717	0.982196	0.0590687	0.968199	0.10226	-1.96502	0.111181	0.665461	0.0941865
1.5	0.98484	0.0434378	0.971796	0.0775694	0.950405	0.130237	-1.94573	0.140766	0.664543	0.125665
1.6	0.9798	0.0530653	0.962824	0.0913337	0.93537	0.150022	-1.92926	0.163039	0.663667	0.150509
1.7	0.967784	0.0752179	0.942263	0.121362	0.902587	0.186734	-1.89266	0.205795	0.661138	0.205092
1.8	0.955112	0.0958135	0.921418	0.147304	0.870708	0.217572	-1.85693	0.243759	0.658148	0.260299
1.9	0.934464	0.125831	0.889055	0.183901	0.824234	0.255184	-1.80416	0.290141	0.652406	0.347663
2	0.912072	0.147426	0.853608	0.211695	0.773456	0.286022	-1.74554	0.332209	0.646167	0.448614
2.1	0.888856	0.165393	0.817417	0.232666	0.722299	0.30516	-1.68445	0.360768	0.639664	0.557367
2.2	0.847104	0.202154	0.758447	0.268572	0.647366	0.333262	-1.59246	0.409326	0.624873	0.776739
2.3	0.812848	0.221835	0.709928	0.289346	0.58771	0.346769	-1.5144	0.44028	0.611301	0.999856
2.4	0.765856	0.246934	0.647506	0.309463	0.515022	0.354754	-1.41944	0.463534	0.590535	1.36703
2.5	0.723464	0.26241	0.592252	0.319559	0.45287	0.352574	-1.32936	0.482732	0.569633	1.80248
2.6	0.68016	0.271594	0.536374	0.320643	0.390498	0.339809	-1.23715	0.486363	0.547558	2.41209
2.7	0.627744	0.286074	0.475892	0.324483	0.331752	0.328737	-1.14459	0.495534	0.511714	3.33403
2.8	0.591088	0.287264	0.431898	0.316881	0.286939	0.309347	-1.0764	0.483106	0.487248	4.33646
2.9	0.546088	0.286684	0.380392	0.306646	0.23872	0.288126	-0.988864	0.475352	0.450071	6.07739
3	0.506464	0.282594	0.336357	0.293059	0.199011	0.265067	-0.91824	0.458519	0.413653	8.40451
3.1	0.47736	0.275956	0.304017	0.278009	0.169707	0.242586	-0.860384	0.444395	0.387953	11.062
3.2	0.447008	0.271023	0.273262	0.26625	0.145554	0.224729	-0.805824	0.434187	0.350252	14.4647
3.3	0.442024	0.265021	0.265614	0.256852	0.136517	0.212142	-0.789776	0.419884	0.354994	15.9782
3.4	0.411176	0.255521	0.23435	0.239631	0.112337	0.190251	-0.729216	0.40413	0.318175	22.4211
3.5	0.410968	0.256507	0.234684	0.239475	0.112419	0.188081	-0.724912	0.406513	0.31962	22.1611
3.6	0.389416	0.252578	0.215434	0.229566	0.0991074	0.175723	-0.682256	0.399323	0.288204	27.5746
3.7	0.368288	0.238893	0.1927	0.212032	0.0820866	0.156285	-0.641648	0.379448	0.263137	38.202
3.8	0.359768	0.239837	0.186949	0.20777	0.078114	0.148205	-0.628432	0.374568	0.254992	40.7349
3.9	0.346064	0.230704	0.172979	0.196363	0.0684764	0.135568	-0.602608	0.360391	0.237163	50.8774
4	0.339736	0.228079	0.167436	0.191669	0.0647678	0.131307	-0.587232	0.36101	0.229907	56.2256
4.1	0.334944	0.226092	0.1633	0.18936	0.0625203	0.129982	-0.568368	0.363284	0.218501	60.272
4.2	0.322608	0.220221	0.152568	0.179949	0.0556556	0.118691	-0.54664	0.354667	0.202999	72.6037
4.3	0.315304	0.21528	0.145757	0.173077	0.0511977	0.111267	-0.526992	0.34744	0.196718	83.2818
4.4	0.304624	0.212661	0.138016	0.167495	0.0471	0.104425	-0.512896	0.341726	0.175784	94.887
4.5	0.298808	0.208478	0.132745	0.161889	0.0438267	0.100143	-0.495872	0.339389	0.170949	108.339
4.6	0.290552	0.204239	0.12613	0.156008	0.0402447	0.0932929	-0.479872	0.331452	0.156759	123.619
4.7	0.289136	0.201686	0.124273	0.152655	0.038745	0.0894029	-0.467856	0.33092	0.163737	130.642
4.8	0.285232	0.200338	0.121489	0.150025	0.0372648	0.0871956	-0.457312	0.329231	0.158399	139.86
4.9	0.279928	0.198917	0.117924	0.14732	0.0356072	0.0845556	-0.446096	0.326318	0.146481	150.776
