T 	  magAv 	 stdmagAv 	 m^2 	 stdm^2 	 m^4 	 stdm^4 	 eAv	 stdeAv	 Binder 	 std Binder
0.1	1	0	1	0	1	0	-2	0	0.666667	0
0.2	1	0	1	0	1	0	-2	0	0.666667	0
0.3	1	0	1	0	1	0	-2	0	0.666667	0
0.4	0.64108	0.0712148	0.416055	0.0875078	0.180759	0.0680641	-1.79946	0.00227744	0.651922	3.36504
0.5	1	0	1	0	1	0	-2	0	0.666667	0
0.6	0.570945	0.303665	0.418182	0.369859	0.311658	0.417717	-1.84765	0.0917573	0.405946	4.55199
0.7	0.892066	0.283655	0.876234	0.315792	0.8675	0.333826	-1.97065	0.0736672	0.623376	0.435804
0.8	0.906723	0.243188	0.881281	0.304298	0.869244	0.332779	-1.96951	0.0769315	0.626929	0.428284
0.9	0.999721	0.00123269	0.999443	0.00245716	0.998892	0.00488175	-1.9989	0.00476574	0.666665	0.0040835
1	0.999244	0.00204178	0.998493	0.00406843	0.997004	0.00807691	-1.99704	0.00788471	0.666661	0.00678534
1.1	0.998346	0.00310568	0.996704	0.00618051	0.993458	0.0122394	-1.99357	0.0118078	0.666654	0.0103683
1.2	0.997079	0.00419702	0.994185	0.00833758	0.988474	0.016454	-1.98884	0.0153713	0.666643	0.0141033
1.3	0.994695	0.00573413	0.989451	0.011363	0.979142	0.0223157	-1.97996	0.0206817	0.666623	0.0195499
1.4	0.991335	0.00768757	0.982804	0.0151661	0.966134	0.0295255	-1.96795	0.0263826	0.666587	0.0266855
1.5	0.986474	0.0102417	0.973236	0.0200815	0.947591	0.0386294	-1.95112	0.0335513	0.666525	0.0365236
1.6	0.979681	0.0130732	0.959947	0.0254267	0.922144	0.0481478	-1.92818	0.0413694	0.666433	0.0484925
1.7	0.969713	0.017366	0.940645	0.0333762	0.885927	0.0617651	-1.89705	0.0507939	0.666247	0.0682775
1.8	0.957458	0.0220453	0.917213	0.0417055	0.843018	0.0748791	-1.86082	0.0596966	0.665978	0.0929484
1.9	0.938675	0.0301789	0.882021	0.0554433	0.781035	0.0943889	-1.8102	0.0711193	0.66535	0.140248
2	0.91087	0.0439567	0.831616	0.077476	0.697587	0.122325	-1.74575	0.0855636	0.663774	0.237121
2.1	0.860961	0.0989942	0.751052	0.132366	0.581598	0.162857	-1.65814	0.108274	0.656314	0.492711
2.2	0.793857	0.123022	0.645342	0.160115	0.4421	0.177412	-1.55219	0.121379	0.646149	1.01147
2.3	0.64236	0.213029	0.458003	0.225271	0.260509	0.188013	-1.39883	0.149267	0.586035	3.60509
2.4	0.449781	0.234708	0.257385	0.209028	0.109935	0.13706	-1.23843	0.147753	0.446842	18.7524
2.5	0.351093	0.208726	0.166828	0.16	0.0534292	0.0841251	-1.13141	0.127434	0.360091	63.2596
2.6	0.243124	0.166507	0.0868312	0.101127	0.0177652	0.0366366	-1.02945	0.110045	0.214587	382.728
2.7	0.195068	0.137683	0.0570059	0.0703192	0.00819397	0.0193236	-0.962122	0.105112	0.159509	1342.06
2.8	0.170579	0.123883	0.0444426	0.0572758	0.00525534	0.0137568	-0.91067	0.0988267	0.113088	2817.84
2.9	0.151752	0.112547	0.0356943	0.0482621	0.00360308	0.0100788	-0.859034	0.0969299	0.0573421	5140.01
3	0.136617	0.0999058	0.0286442	0.0378152	0.00225034	0.00620309	-0.819238	0.0968476	0.0857782	10410.1
3.1	0.123997	0.0911366	0.0236803	0.031649	0.00156232	0.00436122	-0.776458	0.091549	0.071305	18073.8
3.2	0.117531	0.0877502	0.0215129	0.0299329	0.00135869	0.00416478	-0.745543	0.0912589	0.0214033	23835.6
3.3	0.108704	0.0821755	0.0185687	0.0261833	0.00103029	0.00329657	-0.714907	0.0903146	0.00395909	37339
3.4	0.103547	0.0775674	0.0167382	0.0229224	0.000805551	0.00231855	-0.684062	0.0870497	0.0415805	49521.3
3.5	0.103549	0.0755718	0.0164329	0.0219805	0.000753135	0.00215907	-0.661514	0.0866197	0.0703439	55396.7
3.6	0.0935265	0.0711339	0.0138067	0.0194251	0.000567923	0.00176104	-0.635535	0.0864924	0.00691467	88525.5
3.7	0.0915615	0.0673559	0.0129199	0.0173456	0.000467761	0.001357	-0.614121	0.0840103	0.0659149	114237
3.8	0.087367	0.0664218	0.0120444	0.0172904	0.000443995	0.0015303	-0.595183	0.0848629	-0.020202	140429
3.9	0.0873915	0.0647498	0.0118294	0.0159967	0.000395804	0.00114109	-0.577195	0.0832814	0.0571682	145166
4	0.0819515	0.061507	0.0104988	0.0146635	0.000325222	0.00100059	-0.554917	0.0826886	0.0164847	203638
4.1	0.0805705	0.0602317	0.0101191	0.0137591	0.000291689	0.000836296	-0.541186	0.0821698	0.0504554	227371
4.2	0.0789075	0.0587406	0.00967651	0.0131044	0.000265344	0.000754652	-0.527152	0.081673	0.055394	260630
4.3	0.077069	0.0580633	0.00931064	0.0129538	0.000254472	0.000787321	-0.51241	0.0798318	0.0215021	296614
4.4	0.076053	0.0571637	0.00905142	0.0126885	0.000242911	0.000765085	-0.498669	0.0807129	0.011691	322154
4.5	0.0723195	0.054774	0.00823	0.0117097	0.000204837	0.000678434	-0.481928	0.0795022	-0.00806488	433158
4.6	0.070388	0.0531547	0.00777962	0.0108639	0.000178534	0.00054396	-0.470389	0.0794166	0.0167052	495818
4.7	0.068885	0.0524013	0.00749076	0.0106406	0.000169322	0.000573959	-0.459146	0.0798292	-0.00586567	590504
4.8	0.0697115	0.0529751	0.00766578	0.0107797	0.000174954	0.000551688	-0.449541	0.0802251	0.0075907	526545
4.9	0.0688365	0.0523608	0.00747984	0.0107236	0.000170931	0.000557204	-0.436742	0.078068	-0.0183936	556416
